6665,1,19,10,
6665,2,24,17,
6665,3,34,11,
6665,4,7,5,
6665,5,4,5,
6665,6,25,14,
6665,7,1,7,
6665,8,32,19,
5378,1,13,16,
5378,2,5,5,
5378,3,29,19,
5378,4,4,5,
5378,5,8,5,
5378,6,19,20,
5378,7,33,21,
5378,8,8,14,
6137,1,17,12,
6137,2,19,9,
6137,3,34,27,
6137,4,5,2,
6137,5,5,6,
6137,6,43,13,
6137,7,33,21,
6137,8,36,24,
4608,1,2,1,
4608,2,10,11,
4608,3,18,13,
4608,4,4,3,
4608,5,2,4,
4608,6,29,11,
4608,7,17,17,
4608,8,22,6,
6615,1,29,13,
6615,2,8,12,
6615,3,16,13,
6615,4,8,6,
6615,5,3,5,
6615,6,28,23,
6615,7,33,22,
6615,8,24,8,
4411,1,26,17,
4411,2,17,12,
4411,3,11,8,
4411,4,5,5,
4411,5,13,3,
4411,6,13,8,
4411,7,24,9,
4411,8,22,15,
6667,1,13,21,
6667,2,14,13,
6667,3,31,20,
6667,4,8,3,
6667,5,7,4,
6667,6,21,17,
6667,7,5,10,
6667,8,11,7,
6651,1,17,17,
6651,2,24,13,
6651,3,20,21,
6651,4,7,3,
6651,5,3,4,
6651,6,22,14,
6651,7,23,19,
6651,8,5,1,
4991,1,24,11,
4991,2,19,12,
4991,3,9,11,
4991,4,16,4,
4991,5,5,5,
4991,6,18,10,
4991,7,20,13,
4991,8,13,9,
5752,1,26,16,
5752,2,34,19,
5752,3,33,15,
5752,4,2,6,
5752,5,5,5,
5752,6,37,12,
5752,7,24,17,
5752,8,23,8,
6134,1,25,10,
6134,2,5,11,
6134,3,22,16,
6134,4,5,5,
6134,5,1,1,
6134,6,14,9,
6134,7,20,11,
6134,8,13,7,
5995,1,27,14,
5995,2,33,18,
5995,3,1,2,
5995,4,8,10,
5995,5,10,8,
5995,6,20,24,
5995,7,16,11,
5995,8,15,16,
4494,1,26,14,
4494,2,28,18,
4494,3,24,18,
4494,4,4,4,
4494,5,1,1,
4494,6,10,11,
4494,7,13,23,
4494,8,8,7,
5973,1,16,8,
5973,2,28,23,
5973,3,20,15,
5973,4,5,5,
5973,5,5,7,
5973,6,14,18,
5973,7,22,13,
5973,8,1,7,
5988,1,8,14,
5988,2,24,19,
5988,3,5,14,
5988,4,3,9,
5988,5,5,5,5
5988,6,21,33,
5988,7,24,21,
5988,8,21,30,
6902,1,14,10,
6902,2,7,11,
6902,3,26,17,
6902,4,5,2,
6902,5,1,1,
6902,6,20,12,
6902,7,9,16,
6902,8,9,9,
7175,1,2,2,
7175,2,1,5,
7175,3,7,8,
7175,4,5,5,
7175,5,11,5,
7175,6,8,10,
7175,7,14,10,
7175,8,11,7,
7010,1,19,11,
7010,2,3,4,
7010,3,22,8,
7010,4,2,2,
7010,5,1,2,
7010,6,19,11,
7010,7,21,5,
7010,8,16,6,
5929,1,16,15,
5929,2,16,8,
5929,3,23,13,
5929,4,2,4,
5929,5,3,3,
5929,6,18,16,
5929,7,33,16,
5929,8,3,3,
5310,1,25,13,
5310,2,19,16,
5310,3,18,21,
5310,4,10,4,
5310,5,8,9,
5310,6,9,10,
5310,7,32,17,
5310,8,18,14,
4688,1,27,15,
4688,2,23,17,
4688,3,45,19,
4688,4,1,1,
4688,5,5,5,
4688,6,7,12,
4688,7,26,13,
4688,8,20,19,
4674,1,13,11,
4674,2,16,8,
4674,3,1,1,
4674,4,1,4,
4674,5,5,5,
4674,6,4,5,
4674,7,9,4,
4674,8,5,9,
4863,1,11,8,
4863,2,11,12,
4863,3,1,1,
4863,4,10,10,
4863,5,1,2,
4863,6,2,3,
4863,7,13,19,
4863,8,4,3,
6211,1,9,9,
6211,2,12,11,
6211,3,13,19,
6211,4,6,4,
6211,5,6,8,
6211,6,10,10,
6211,7,12,11,
6211,8,2,3,
5991,1,18,17,
5991,2,25,13,
5991,3,20,17,
5991,4,8,7,
5991,5,12,8,
5991,6,10,12,
5991,7,29,18,
5991,8,1,7,
