373,7339,donQ,1.0,1.02,0.68,0.66,0.13
389,5712,kinta,0.85,0.83,0.67,0.81,0.09
414,6672,drifking,1.04,1.01,0.73,0.73,0.17
424,,zomA,0.49,0.43,0.36,0.83,0.05
429,,karrigan,0.97,0.98,0.67,0.69,0.14
433,,zneel,0.99,1.05,0.68,0.65,0.12
434,,pita,0.92,0.89,0.65,0.73,0.15
438,,Delpan,1.04,1.05,0.72,0.68,0.12
458,6454,yxo,0.88,0.92,0.72,0.78,0.11
472,5988,B1ad3,0.85,0.82,0.6,0.72,0.16
474,,weiss,0.98,1.1,0.68,0.62,0.12
476,6246,strike,0.86,0.86,0.63,0.74,0.13
477,,redman,1.09,1.14,0.8,0.7,0.11
478,,ed1k,0.75,0.7,0.58,0.82,0.15
480,,Flatra,0.73,0.69,0.53,0.77,0.16
483,4608,Edward,1.05,1.08,0.72,0.67,0.14
484,6651,Zeus,0.96,0.97,0.67,0.69,0.17
497,,LeX,1.01,1.05,0.7,0.67,0.15
499,,hooch,0.9,0.89,0.62,0.69,0.14
513,2723,stofqaz,0.52,0.5,0.44,0.88,0.05
514,,aneee,0.83,0.79,0.58,0.73,0.14
515,5009,COLON,1.05,1.06,0.73,0.68,0.13
518,,xlo,0.91,0.94,0.61,0.65,0.19
526,4072,dEsh,0.89,0.86,0.65,0.75,0.15
536,1456,deficient,0.9,0.87,0.61,0.7,0.13
541,6388,zeeth,0.89,0.89,0.62,0.69,0.15
543,5595,minet,0.81,0.74,0.61,0.82,0.11
545,7175,MODDII,1.03,1.06,0.7,0.66,0.14
547,,"t3h f4rm3r",0.9,0.89,0.64,0.72,0.15
551,6834,A38,0.54,0.5,0.39,0.78,0.17
552,1353,katulen,0.57,0.54,0.5,0.92,0.08
554,6968,bruno,0.69,0.67,0.54,0.8,0.14
555,,bit,1.02,1.03,0.71,0.69,0.15
556,6618,chucky,0.84,0.8,0.59,0.74,0.16
557,6137,fnx,1.08,1.13,0.74,0.66,0.17
558,6618,prd,1.06,1.09,0.75,0.68,0.16
