1,0,zet
2,,RobbaN
7,7175,Friis
11,6064,Vertigo
13,,RashiE
15,4606,m1kkis
17,4606,Zyppe
18,2602,xeron
20,,Rogga
21,,zonic
28,,cArn
29,4411,f0rest
31,,lurppis
34,,ruuit
35,4869,naSu
37,,THREAT
38,,kHRYSTAL
39,4411,GeT_RiGhT
41,6902,pronax
44,4688,BARBARR
50,,REAL
51,,syrtekz
58,,trace
62,6343,threeman
77,,nooky
92,,approx
102,,zonixx
113,7288,loomit
114,7288,rEcki
128,,Troubley
136,6673,"gob b"
137,,Tixo
146,,Ozstrik3r
147,5991,SIXER
150,4559,MAJ3R
153,,Jumpy
156,,HaRts
157,,ioRek
158,,MaT
159,,mSx
161,5378,TaZ
162,,kuben
163,,Loord
165,5378,NEO
168,,cogu
169,,nak
170,6618,spacca
174,7354,solo
175,7354,termi
177,4865,Jewelry
180,6773,Savage
192,,Irukandji
194,,savi0r
196,,SpawN
199,,fRoD
200,,Storm
201,,Warden
203,5752,n0thing
205,7354,glow
212,,steno
216,,Volcano
217,3929,method
224,,dizzaman
233,,CosMo
234,,drizzer
239,,kUtA
244,,Krav
245,4675,mshz
251,,NOtA
269,,jarod
274,,Skall
284,6131,JaCkz
286,,MoMaN
299,,craft1k
300,2905,lmbt
301,5890,ceh9
302,,kUcheR
303,,starix
305,1176,dOK
312,4538,ths
317,5378,pashaBiceps
322,4468,FlipiN
329,6222,Kairi
330,6672,MusambaN1
333,,BeAst
334,6651,AdreN
335,200,N1ck3L
338,5988,markeloff
339,5310,ANGE1
342,,Johnta
344,5597,GuMmY
349,,scott
351,,poWer
352,4783,hAder
353,,MakalisteR
356,6222,arki
365,7339,meisoN
373,7339,donQ
389,5712,kinta
414,6672,drifking
424,,zomA
429,,karrigan
433,,zneel
434,,pita
438,,Delpan
458,6454,yxo
472,5988,B1ad3
474,,weiss
476,6246,strike
477,,redman
478,,ed1k
480,,Flatra
483,4608,Edward
484,6651,Zeus
497,,LeX
499,,hooch
513,2723,stofqaz
514,,aneee
515,5009,COLON
518,,xlo
526,4072,dEsh
536,1456,deficient
541,6388,zeeth
543,5595,minet
545,7175,MODDII
547,,"t3h f4rm3r"
551,6834,A38
552,1353,katulen
554,6968,bruno
555,,bit
556,6618,chucky
557,6137,fnx
558,6618,prd
566,5056,Dodz
574,,Veeker
603,7101,z1
604,4742,MSE
607,,Pr1zraK
608,4684,sozik
610,6131,HeUkA
611,,atLaNtis
614,6131,instanz
616,4434,StrykerX
624,4791,deStiny
625,,ferg
627,,gazR
628,,coachi
629,,fox
630,,MUTiRiS
632,,SHOUW
633,4054,xock
635,4054,wArpAtH
638,4802,kalaN
639,4802,ALM1GHTY
641,,helius
642,6809,ERROR
645,,tacky
646,7039,kalle
655,4474,Noppo
662,7354,peri
668,6354,Evant
684,,ociriz
691,,shaker
694,,aslak
695,6667,allu
713,,natu
714,,dRiim
730,5708,Spanisfury
731,5435,YuRk0
735,6651,Dosia
736,,OverDrive
737,7283,Fox
742,2320,CEKKA
744,2320,Thomas
751,4690,MILENK0
752,4690,Geko
762,5745,lidde
763,,Zitron
768,,pb
769,,hyvlarn
775,7160,marvel
781,7064,dzt
798,,oskar
815,1548,seezung
818,,beyoNd*
820,,angel.th
822,,CHEF-KOCH
823,,Maniac
838,,alex
839,6773,tb
840,6899,karl
848,6415,sPiKe
850,6415,deNos
875,6105,MEr
884,4411,Xizt
885,4991,olofmeister
890,,rdl
897,6336,spyro
909,,3#
912,6908,Rita
921,7074,BERRY
922,7175,Snappi
928,4970,jRi
930,,DecE
931,,SeDaN
957,4579,AaroN
958,,AlesKi
960,,COPA
963,4743,SlyCer
964,6651,mou
965,4922,SNAPPLE
969,,MNR
970,,ScurK
971,,KHRN
972,,DaY
973,6134,SZPERO
976,5616,destru
992,1353,Gulle
993,2582,bali
994,5884,vuggo
997,4476,hoddi
1003,725,iON
1007,7310,k1Ng0r
1011,5253,gavin
1022,6382,REASTEN
1023,4611,KORN
1030,4579,Monu
1037,,Foux
1038,6473,bitchiR
1040,,prb
1044,,emilio
1045,,Maikelele
1046,,dboorN
1047,5250,SFM
1052,7149,st1cker
1055,6681,havoK
1064,4501,crisby
1067,4553,NeOn
1083,7283,AERO
1084,7252,Fierce
1085,7252,Fly
1088,7283,liTTle
1095,,Foking
1104,,rAx
1129,6455,aMi
1135,,pop
